@relation electricity-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute Feature0 numeric
@attribute Feature1 numeric 
@attribute Feature2 numeric 
@attribute Feature3 numeric 
@attribute Feature4 numeric 
@attribute Feature5 numeric 
@attribute class {positive,negative} 

@data
2.2223249514840386,2.7686452089509452,2.6716078395297886,2.0250730958352596,2.1092469885214142,2.137409216972237,positive
1.955947030725317,2.378618024885748,2.4815032180113596,2.7014131911388914,2.0552412214119338,2.9051662412820405,negative
2.6717082467795477,2.9753202337337665,3.1370010017755527,2.9355211236781553,1.8089570963260375,2.2644627604585343,positive
2.3564381486786665,1.6134658246699434,2.282548028630706,3.0188517619924524,2.0209208217841743,2.7792414828882066,negative
1.7143869681244084,1.8575021410927435,2.5756709728205167,2.0742578789204127,2.8550747325174193,1.6282207373775248,negative
2.198752287179102,1.2830818282827363,2.875406903162572,1.8214930558690028,3.3421624987838805,1.8672228554411947,negative
1.8032408232319648,2.105199565327895,2.880708501050377,2.8720737392890716,2.3231030884342925,2.440707749798316,negative
1.8161718436826164,1.6662420536428986,2.1307240935312164,2.1512733473794667,2.3065993142292376,1.698409677621175,negative
1.9933419237113112,2.7964920897586447,1.730176453946397,3.056159350815095,1.6971135326147353,2.6160347027620667,negative
2.9023648042216856,2.395216037302237,3.0901142458397697,2.346970367331512,1.8453724577797899,2.638340964328871,negative
2.4798472123852404,2.468937220173571,2.689622581016055,2.8489692456678664,2.6683001306048917,2.2743222432980996,negative
1.1001697301234954,1.7111814317383807,1.5747352838109072,1.3993541602364117,1.803403157142029,2.554615124538963,negative
2.0215845252553786,2.397239043289193,1.3319817739940296,2.4541475251840446,2.3184009341503913,2.7920842275432016,negative
2.679903824307509,2.151820241426452,3.2449917764235447,2.3998020477057365,1.1801235549614268,2.2079353117674936,positive
3.902731808457902,2.4405137271548467,3.623645882567696,2.4843833749469963,2.82304232997938,2.419247580228304,positive
1.0899461020669285,2.4235152140769123,2.741578603498699,2.492594302207243,3.139356242556701,2.7122718993477926,negative
3.0299075126410813,2.1188867156784417,2.3011831303566552,2.733206201659105,2.4106025454791915,1.609707745786542,positive
2.5549264063409716,1.5710245588663962,2.7026037492703203,2.9589070651990506,2.41525124198409,1.9475217692594788,negative
2.409005738588869,1.253317082345127,2.7768719218655753,2.4943347820770554,3.3369565582305234,2.521410331676984,negative
3.2646304868967326,1.6087392471625999,3.1850861078275217,2.90566000073847,2.190158718605777,2.164130208673212,positive
1.602112639170767,1.478706063349289,2.0897025345843097,1.6782468918767155,2.66137411261962,1.7023199207911093,negative
2.9467998237571944,1.47191673799226,1.600108887762148,3.031013528606983,2.4305529367512255,2.168917533922836,negative
1.618933933667288,2.9762611170350857,3.116829346522443,2.32843099133362,3.1046929125239644,1.4222016528397359,negative
1.361579400117229,1.9368035579386391,2.814241494523206,1.463200899337405,2.31968229396357,2.6103779245056944,negative
2.3329123587816314,1.9556552968114977,1.7508389838553493,3.139965072049471,3.5469594296036018,1.437618992721172,negative
1.2130802541464876,2.465448049020206,1.8914943563166957,2.6733044952581295,1.745854621308578,1.3367864058967227,negative
2.482062671168517,2.7403442986381608,1.6186125933216595,1.5414061390536207,2.6590204084843068,1.683932439603695,negative
2.2999046712840006,1.7149632208229257,2.4799135107779233,2.2055613585872913,2.072600287385357,2.0545386996184885,positive
